uii_code,name,region,old_region,province,old_province,city_municipality,old_city_municipality,sector,latitude,longitude,coord_status,is_multi_campus,psgc_observed_region,psgc_observed_province,psgc_observed_municity,psgc_observed_barangay
13027,CAP College Foundation,NCR,NCR,METRO MANILA,METRO MANILA,CITY OF MAKATI,CITY OF MAKATI,Private,14.555589,121.014853,valid,False,13,13803,1380300,1380300025
13105,CICM Maryhill School of Theology,NCR,NCR,METRO MANILA,METRO MANILA,Quezon City,Quezon City,Private,14.6224694,121.0290625,valid,False,13,13813,1381300,1381300060
13429,CIIT College of Arts and Technology,NCR,NCR,METRO MANILA,METRO MANILA,Quezon City,Quezon City,Private,14.6294698,121.0418127,valid,False,13,13813,1381300,1381300048
13340,Capitol Medical Center Colleges,NCR,NCR,METRO MANILA,METRO MANILA,Quezon City,Quezon City,Private,14.6270666,121.0110021,valid,False,13,13813,1381300,1381300065
13029,Central Colleges of the Philippines,NCR,NCR,METRO MANILA,METRO MANILA,Quezon City,Quezon City,Private,14.605926,121.0194646,valid,False,13,13813,1381300,1381300031
,Centro Escolar Las Pi�?±as,NCR,NCR,METRO MANILA,METRO MANILA,CITY OF LAS PI�?AS,CITY OF LAS PI�?AS,Private,14.4514205,120.9791933,valid,False,13,13802,1380200,1380200014
13367,Centro Escolar University-Makati,NCR,NCR,METRO MANILA,METRO MANILA,CITY OF MAKATI,CITY OF MAKATI,Private,14.56069,121.012709,valid,False,13,13803,1380300,1380300023
13031,Centro Escolar University-Manila,NCR,NCR,METRO MANILA,METRO MANILA,MANILA,MANILA,Private,14.5988806,120.9917563,valid,False,13,13806,1380600,1380600641
13032,Chiang Kai Shek College,NCR,NCR,METRO MANILA,METRO MANILA,MANILA,MANILA,Private,14.6076248,120.9767277,valid,False,13,13806,1380600,1380600259
13243,Children of Mary Immaculate College,NCR,NCR,METRO MANILA,METRO MANILA,CITY OF VALENZUELA,CITY OF VALENZUELA,Private,14.693962,120.967662,valid,False,13,13816,1381600,1381600017
13034,Chinese General Hospital Colleges,NCR,NCR,METRO MANILA,METRO MANILA,MANILA,MANILA,Private,14.625192,120.988138,valid,False,13,13806,1380600,1380600372
13401,Christ the King College of Science and Technology,NCR,NCR,METRO MANILA,METRO MANILA,CITY OF MUNTINLUPA,CITY OF MUNTINLUPA,Private,14.3971852,121.0470678,valid,False,13,13808,1380800,1380800006
,City University of Pasay,NCR,NCR,METRO MANILA,METRO MANILA,Pasay City,Pasay City,Public LUC,14.544356,120.995515,valid,False,13,13811,1381100,1381100070
13093,City of Malabon University,NCR,NCR,METRO MANILA,METRO MANILA,CITY OF MALABON,CITY OF MALABON,Public LUC,14.6537811,120.9601605,valid,False,13,13804,1380400,1380400010
13454,Colegio de Muntinlupa,NCR,NCR,METRO MANILA,METRO MANILA,CITY OF MUNTINLUPA,CITY OF MUNTINLUPA,Public LUC,14.4575121,121.0511984,valid,False,13,13808,1380800,1380800007
13402,Colegio de San Gabriel Archangel of Caloocan,NCR,NCR,METRO MANILA,METRO MANILA,Caloocan City,Caloocan City,Private,14.7806698,121.0345326,valid,False,13,13801,1380100,1380100176
13037,Colegio de San Juan de Letran,NCR,NCR,METRO MANILA,METRO MANILA,MANILA,MANILA,Private,14.5938186,120.9768631,valid,False,13,13806,1380600,1380600654
13038,Colegio de San Lorenzo,NCR,NCR,METRO MANILA,METRO MANILA,Quezon City,Quezon City,Private,14.670556,121.0369143,valid,False,13,13813,1381300,1381300012
,Colegio de Sta. Teresa de Avila Foundation,NCR,NCR,METRO MANILA,METRO MANILA,Quezon City,Quezon City,Private,14.7338288,121.0511969,valid,False,13,13813,1381300,1381300046
,College of Arts and Sciences of Asia and the Pacific,NCR,NCR,METRO MANILA,METRO MANILA,CITY OF PASIG,CITY OF PASIG,Private,14.5671911,121.1305191,valid,False,04,04058,0405813,0405813004
13390,College of Divine Wisdom,NCR,NCR,METRO MANILA,METRO MANILA,CITY OF PARA�?AQUE,CITY OF PARA�?AQUE,Private,14.4896048,120.9949784,valid,False,13,13810,1381000,1381000004
13451,College of Saint Amatiel,NCR,NCR,METRO MANILA,METRO MANILA,CITY OF MALABON,CITY OF MALABON,Private,14.6624827,120.9502175,valid,False,13,13804,1380400,1380400016
13362,College of St. Catherine,NCR,NCR,METRO MANILA,METRO MANILA,Quezon City,Quezon City,Private,14.679436,121.018576,valid,False,13,13813,1381300,1381300137
13040,Concordia College,NCR,NCR,METRO MANILA,METRO MANILA,MANILA,MANILA,Private,14.5811455,121.002543,valid,False,13,13806,1380600,1380600820
,Criminal Justice College,NCR,NCR,METRO MANILA,METRO MANILA,CITY OF MUNTINLUPA,CITY OF MUNTINLUPA,Private,14.380296,121.046852,valid,False,13,13808,1380800,1380800008
13405,Datamex College of Saint Adeline-Fairview,NCR,NCR,METRO MANILA,METRO MANILA,Quezon City,Quezon City,Private,14.705327,121.0778961,valid,False,13,13813,1381300,1381300041
,Datamex College of Saint Adeline-Para�?±aque,NCR,NCR,METRO MANILA,METRO MANILA,CITY OF PARA�?AQUE,CITY OF PARA�?AQUE,Private,14.479331,120.998065,valid,False,13,13810,1381000,1381000004
,Datamex College of Saint Adeline-Valenzuela,NCR,NCR,METRO MANILA,METRO MANILA,CITY OF VALENZUELA,CITY OF VALENZUELA,Private,14.6767368,120.9829711,valid,False,13,13816,1381600,1381600019
13046,De La Salle University-Manila,NCR,NCR,METRO MANILA,METRO MANILA,MANILA,MANILA,Private,14.5647642,120.9931652,valid,False,13,13806,1380600,1380600719
13072,De La Salle-Araneta University,NCR,NCR,METRO MANILA,METRO MANILA,CITY OF MALABON,CITY OF MALABON,Private,14.6711938,120.9985612,valid,False,13,13804,1380400,1380400015
13050,De La Salle-College of Saint Benilde,NCR,NCR,METRO MANILA,METRO MANILA,MANILA,MANILA,Private,14.5636358,120.9950657,valid,False,13,13806,1380600,1380600728
13048,De Ocampo Memorial College,NCR,NCR,METRO MANILA,METRO MANILA,Manila,Manila,Private,14.6016865,121.0069672,valid,False,13,13806,1380600,1380600627
13310,Development Academy of the Philippines,NCR,NCR,METRO MANILA,METRO MANILA,CITY OF PASIG,CITY OF PASIG,OGS,14.578578,121.057866,valid,False,13,13812,1381200,1381200019
13370,Diliman College,NCR,NCR,METRO MANILA,METRO MANILA,Quezon City,Quezon City,Private,14.6747106,121.0820308,valid,False,13,13813,1381300,1381300066
13263,Divine Mercy College Foundation,NCR,NCR,METRO MANILA,METRO MANILA,Caloocan City,Caloocan City,Private,14.6611807,120.9795037,valid,False,13,13801,1380100,1380100080
13049,Divine Word Mission Seminary,NCR,NCR,METRO MANILA,METRO MANILA,Quezon City,Quezon City,Private,14.624224,121.030472,valid,False,13,13813,1381300,1381300024
,Dominican College,NCR,NCR,METRO MANILA,METRO MANILA,CITY OF SAN JUAN,CITY OF SAN JUAN,Private,14.598381,121.030072,valid,False,13,13814,1381400,1381400019
13213,Don Bosco Center of Studies,NCR,NCR,METRO MANILA,METRO MANILA,CITY OF PARA�?AQUE,CITY OF PARA�?AQUE,Private,14.4784703,121.0272822,valid,False,13,13810,1381000,1381000008
13052,Don Bosco Technical College,NCR,NCR,METRO MANILA,METRO MANILA,CITY OF MANDALUYONG,CITY OF MANDALUYONG,Private,14.5903915,121.0252637,valid,False,13,13805,1380500,1380500021
13423,Don Carlo Cavina School,NCR,NCR,METRO MANILA,METRO MANILA,CITY OF LAS PI�?AS,CITY OF LAS PI�?AS,Private,14.4589005,120.9929962,valid,False,13,13802,1380200,1380200016
13053,Dr. Carlos S. Lanting College,NCR,NCR,METRO MANILA,METRO MANILA,Quezon City,Quezon City,Private,14.6796594,121.0206033,valid,False,13,13813,1381300,1381300137
,Dr. Filemon C. Aguilar Memorial College of Las Pi�?±as,NCR,NCR,METRO MANILA,METRO MANILA,CITY OF LAS PI�?AS,CITY OF LAS PI�?AS,Public LUC,14.4388401,121.0094764,valid,False,13,13802,1380200,1380200018
13428,Dr. Jose Fabella Memorial Hospital School of Midwifery,NCR,NCR,METRO MANILA,METRO MANILA,MANILA,MANILA,OGS,14.6062156,120.9842759,valid,False,13,13806,1380600,1380600311
13419,Eclaro Academy,NCR,NCR,METRO MANILA,METRO MANILA,Quezon City,Quezon City,Private,14.6722182,121.0780047,valid,False,13,13813,1381300,1381300066
,Electron College of Technical Education,NCR,NCR,METRO MANILA,METRO MANILA,Quezon City,Quezon City,Private,14.698849,121.034194,valid,False,13,13813,1381300,1381300006
13054,Emilio Aguinaldo College,NCR,NCR,METRO MANILA,METRO MANILA,MANILA,MANILA,Private,14.582867,120.9871053,valid,False,13,13806,1380600,1380600674
13357,Enderun Colleges,NCR,NCR,Metro Manila,Metro Manila,TAGUIG CITY,TAGUIG CITY,Private,14.5325601,121.0528236,valid,False,13,13815,1381500,1381500025
,Entrepreneurs School of Asia,NCR,NCR,METRO MANILA,METRO MANILA,Quezon City,Quezon City,Private,14.6053247,121.0845998,valid,False,13,13813,1381300,1381300011
13056,"Eulogio ""Amang"" Rodriguez Institute of Science and Technology",NCR,NCR,METRO MANILA,METRO MANILA,Manila,Manila,Public SUC Main,14.5990138,121.001255,valid,False,13,13806,1380600,1380600635
13063,FEATI University,NCR,NCR,METRO MANILA,METRO MANILA,MANILA,MANILA,Private,14.5972018,120.9818168,valid,False,13,13806,1380600,1380600306
13446,FEU Alabang,NCR,NCR,METRO MANILA,METRO MANILA,CITY OF MUNTINLUPA,CITY OF MUNTINLUPA,Private,14.4106908,121.0380546,valid,False,13,13808,1380800,1380800001
13458,FEU Diliman,NCR,NCR,METRO MANILA,METRO MANILA,Quezon City,Quezon City,Private,14.6852744,121.0644142,valid,False,13,13813,1381300,1381300080
13438,FEU Institute of Technology,NCR,NCR,METRO MANILA,METRO MANILA,Manila,Manila,Private,14.604119,120.9886247,valid,False,13,13806,1380600,1380600396
,FEU-Dr. Nicanor Reyes Medical Foundation,NCR,NCR,METRO MANILA,METRO MANILA,Quezon City,Quezon City,Private,14.6992003,121.0669756,valid,False,13,13813,1381300,1381300041
13065,FEU-FERN College,NCR,NCR,METRO MANILA,METRO MANILA,Quezon City,Quezon City,Private,14.6852744,121.0644142,valid,False,13,13813,1381300,1381300080
13061,Far Eastern University,NCR,NCR,METRO MANILA,METRO MANILA,Manila,Manila,Private,14.5995124,120.9842195,valid,False,13,13806,1380600,1380600307
,Far Eastern University-Makati,NCR,NCR,METRO MANILA,METRO MANILA,CITY OF MAKATI,CITY OF MAKATI,Private,14.5620637,121.0171714,valid,False,13,13803,1380300,1380300002
13064,Febias College of Bible,NCR,NCR,METRO MANILA,METRO MANILA,CITY OF VALENZUELA,CITY OF VALENZUELA,Private,14.6883445,120.9806333,valid,False,13,13816,1381600,1381600008
13339,Flight School International,NCR,NCR,METRO MANILA,METRO MANILA,CITY OF PARA�?AQUE,CITY OF PARA�?AQUE,Private,14.4668317,121.0154212,valid,False,13,13810,1381000,1381000013
13447,GK College of Business Arts and Technology,NCR,NCR,METRO MANILA,METRO MANILA,CITY OF MANDALUYONG,CITY OF MANDALUYONG,Private,14.5763901,121.0404236,valid,False,13,13805,1380500,1380500022
,Gardner College Diliman,NCR,NCR,METRO MANILA,METRO MANILA,Quezon City,Quezon City,Private,14.638213,121.04088,valid,False,13,13813,1381300,1381300116
13312,Global City Innovative College,NCR,NCR,METRO MANILA,METRO MANILA,CITY OF MAKATI,CITY OF MAKATI,Private,14.5620941,121.0428327,valid,False,13,13803,1380300,1380300010
13374,Global Reciprocal Colleges,NCR,NCR,METRO MANILA,METRO MANILA,Caloocan City,Caloocan City,Private,14.6498365,120.9839212,valid,False,13,13801,1380100,1380100106
13375,Golden Link College Foundation,NCR,NCR,METRO MANILA,METRO MANILA,Caloocan City,Caloocan City,Private,14.7455942,121.0569658,valid,False,13,13801,1380100,1380100177
13069,Governor Andres Pascual College,NCR,NCR,METRO MANILA,METRO MANILA,CITY OF NAVOTAS,CITY OF NAVOTAS,Private,14.6636427,120.9444687,valid,False,13,13809,1380900,1380900010
13363,Grace Christian College,NCR,NCR,METRO MANILA,METRO MANILA,Quezon City,Quezon City,Private,14.6503491,121.0053073,valid,False,13,13813,1381300,1381300003
13070,Greenville College,NCR,NCR,METRO MANILA,METRO MANILA,CITY OF PASIG,CITY OF PASIG,Private,14.6088299,121.0975981,valid,False,13,13812,1381200,1381200011
13435,Guang Ming College,NCR,NCR,METRO MANILA,METRO MANILA,MANILA,MANILA,Private,14.5606934,120.9920896,valid,False,13,13806,1380600,1380600719
,Guzman College of Science and Technology,NCR,NCR,METRO MANILA,METRO MANILA,Manila,Manila,Private,14.5999709,120.9852186,valid,False,13,13806,1380600,1380600394
,Holy Rosary College Foundation,NCR,NCR,METRO MANILA,METRO MANILA,Caloocan City,Caloocan City,Private,14.7660687,121.0702401,valid,False,13,13801,1380100,1380100186
,ICI Global University,NCR,NCR,METRO MANILA,METRO MANILA,CITY OF PASIG,CITY OF PASIG,Private,14.5763768,121.0851097,valid,False,13,13812,1381200,1381200012
13295,IETI College of Science and Technology-Marikina,NCR,NCR,METRO MANILA,METRO MANILA,CITY OF MARIKINA,CITY OF MARIKINA,Private,14.6343604,121.099728,valid,False,13,13807,1380700,1380700009
13216,IETI College-Alabang,NCR,NCR,METRO MANILA,METRO MANILA,CITY OF MUNTINLUPA,CITY OF MUNTINLUPA,Private,14.4180479,121.0466461,valid,False,13,13808,1380800,1380800001
13237,Immaculada Concepcion College,NCR,NCR,METRO MANILA,METRO MANILA,Caloocan City,Caloocan City,Private,14.7679445,121.0797376,valid,False,13,13801,1380100,1380100185
,Immaculate Heart of Mary College-Para�?±aque,NCR,NCR,METRO MANILA,METRO MANILA,CITY OF PARA�?AQUE,CITY OF PARA�?AQUE,Private,14.477009,121.0235147,valid,False,13,13810,1381000,1381000008
13246,Informatics College-Manila,NCR,NCR,METRO MANILA,METRO MANILA,Manila,Manila,Private,14.6010898,120.989215,valid,False,13,13806,1380600,1380600390
13333,Informatics College-Northgate,NCR,NCR,METRO MANILA,METRO MANILA,CITY OF MUNTINLUPA,CITY OF MUNTINLUPA,Private,14.423209,121.0406027,valid,False,13,13808,1380800,1380800001
13315,Information and Communications Technology Academy,NCR,NCR,METRO MANILA,METRO MANILA,CITY OF MAKATI,CITY OF MAKATI,Private,14.55953,121.007808,valid,False,13,13803,1380300,1380300023
13380,Infotech College of Arts and Sciences Philippines,NCR,NCR,METRO MANILA,METRO MANILA,CITY OF PASIG,CITY OF PASIG,Private,14.620091,121.096606,valid,False,13,13812,1381200,1381200006
13077,Institute of Community and Family Health,NCR,NCR,METRO MANILA,METRO MANILA,Quezon City,Quezon City,Private,14.6211433,121.0091847,valid,False,13,13813,1381300,1381300032
13078,Institute of Formation and Religious Studies,NCR,NCR,METRO MANILA,METRO MANILA,Quezon City,Quezon City,Private,14.6164352,121.0432206,valid,False,13,13813,1381300,1381300050
13424,Integrated Innovation and Hospitality Colleges,NCR,NCR,METRO MANILA,METRO MANILA,Quezon City,Quezon City,Private,14.6790734,121.03003,valid,False,13,13813,1381300,1381300120
13267,Interface Computer College-Caloocan,NCR,NCR,METRO MANILA,METRO MANILA,Caloocan City,Caloocan City,Private,14.651052,120.983116,valid,False,13,13801,1380100,1380100062
13079,Interface Computer College-Manila,NCR,NCR,METRO MANILA,METRO MANILA,Manila,Manila,Private,14.6028849,120.986107,valid,False,13,13806,1380600,1380600395
13081,International Baptist College,NCR,NCR,METRO MANILA,METRO MANILA,CITY OF MANDALUYONG,CITY OF MANDALUYONG,Private,14.575662,121.047232,valid,False,13,13805,1380500,1380500016
13082,International Graduate School of Leadership,NCR,NCR,METRO MANILA,METRO MANILA,Quezon City,Quezon City,Private,14.6873579,121.0339857,valid,False,13,13813,1381300,1381300111
,Jesus Reigns Christian College Foundation,NCR,NCR,METRO MANILA,METRO MANILA,MANILA,MANILA,Private,14.573636,120.989143,valid,False,13,13806,1380600,1380600696
13084,Jose Rizal University,NCR,NCR,METRO MANILA,METRO MANILA,CITY OF MANDALUYONG,CITY OF MANDALUYONG,Private,14.5925264,121.0285593,valid,False,13,13805,1380500,1380500009
13302,Kalayaan College,NCR,NCR,METRO MANILA,METRO MANILA,Quezon City,Quezon City,Private,14.6181463,121.0424602,valid,False,13,13813,1381300,1381300050
13087,La Consolacion College-Caloocan,NCR,NCR,METRO MANILA,METRO MANILA,Caloocan City,Caloocan City,Private,14.651871,120.972692,valid,False,13,13801,1380100,1380100013
13086,La Consolacion College-Manila,NCR,NCR,METRO MANILA,METRO MANILA,MANILA,MANILA,Private,14.597243,120.9930466,valid,False,13,13806,1380600,1380600641
13251,La Consolacion College-Novaliches,NCR,NCR,METRO MANILA,METRO MANILA,Caloocan City,Caloocan City,Private,14.7435168,121.0275747,valid,False,13,13801,1380100,1380100168
13326,La Consolacion College-Pasig,NCR,NCR,METRO MANILA,METRO MANILA,CITY OF PASIG,CITY OF PASIG,Private,14.567165,121.0953589,valid,False,13,13812,1381200,1381200022
13394,La Consolacion College-Valenzuela,NCR,NCR,METRO MANILA,METRO MANILA,CITY OF VALENZUELA,CITY OF VALENZUELA,Private,14.6880962,120.9649169,valid,False,13,13816,1381600,1381600017
13415,La Verdad Christian College-Caloocan,NCR,NCR,METRO MANILA,METRO MANILA,Caloocan City,Caloocan City,Private,14.6577066,120.9966746,valid,False,13,13801,1380100,1380100138
13088,Lacson College,NCR,NCR,METRO MANILA,METRO MANILA,Pasay City,Pasay City,Private,14.5567286,120.9956867,valid,False,13,13811,1381100,1381100036
13361,Lady of Lourdes Hospital & Colleges of Caybiga,NCR,NCR,METRO MANILA,METRO MANILA,Caloocan City,Caloocan City,Private,14.7191659,121.0067088,valid,False,13,13801,1380100,1380100165
13293,Loral Douglas Woosley Bethany Colleges,NCR,NCR,METRO MANILA,METRO MANILA,CITY OF MAKATI,CITY OF MAKATI,Private,14.5562453,121.0038723,valid,False,13,13803,1380300,1380300015
13324,Lyceum of Alabang,NCR,NCR,METRO MANILA,METRO MANILA,CITY OF MUNTINLUPA,CITY OF MUNTINLUPA,Private,14.3730351,121.0474079,valid,False,13,13808,1380800,1380800008
13092,Lyceum of the Philippines University,NCR,NCR,METRO MANILA,METRO MANILA,MANILA,MANILA,Private,14.5915772,120.9777733,valid,False,13,13806,1380600,1380600658
,Makati Medical Center College,NCR,NCR,METRO MANILA,METRO MANILA,CITY OF MAKATI,CITY OF MAKATI,Private,14.5661746,121.0131046,valid,False,13,13803,1380300,1380300023
13439,Makati Science Technological Institute of the Philippines,NCR,NCR,METRO MANILA,METRO MANILA,Manila,Manila,Private,14.600897,121.0127397,valid,False,13,13806,1380600,1380600592
13097,Manila Adventist College,NCR,NCR,METRO MANILA,METRO MANILA,Pasay City,Pasay City,Private,14.5555351,120.9951149,valid,False,13,13811,1381100,1381100035
13296,Manila Business College Foundation,NCR,NCR,METRO MANILA,METRO MANILA,MANILA,MANILA,Private,14.612114,120.984072,valid,False,13,13806,1380600,1380600324
13094,Manila Central University,NCR,NCR,METRO MANILA,METRO MANILA,Caloocan City,Caloocan City,Private,14.6590004,120.9862475,valid,False,13,13801,1380100,1380100084
,Manila Law College,NCR,NCR,METRO MANILA,METRO MANILA,MANILA,MANILA,Private,14.60159,120.982942,valid,False,13,13806,1380600,1380600309
13098,Manila Theological College,NCR,NCR,METRO MANILA,METRO MANILA,Manila,Manila,Private,14.612114,120.984072,valid,False,13,13806,1380600,1380600324
13095,Manila Tytana Colleges,NCR,NCR,METRO MANILA,METRO MANILA,Pasay City,Pasay City,Private,14.540454,120.9881348,valid,False,13,13811,1381100,1381100076
13099,Manuel L. Quezon University,NCR,NCR,METRO MANILA,METRO MANILA,Manila,Manila,Private,14.5980429,120.9835048,valid,False,13,13806,1380600,1380600307
13100a,Mapua University-Makati,NCR,NCR,METRO MANILA,METRO MANILA,CITY OF MAKATI,CITY OF MAKATI,Private,14.5664614,121.0150212,valid,False,13,13803,1380300,1380300026
13100,Mapua University-Manila,NCR,NCR,METRO MANILA,METRO MANILA,MANILA,MANILA,Private,14.5904883,120.9779484,valid,False,13,13806,1380600,1380600658
13441,Marianum College,NCR,NCR,METRO MANILA,METRO MANILA,CITY OF MUNTINLUPA,CITY OF MUNTINLUPA,Private,14.378704,121.0534014,valid,False,13,13808,1380800,1380800008
13336,Marie-Bernarde College,NCR,NCR,METRO MANILA,METRO MANILA,Quezon City,Quezon City,Private,14.694437,121.0307923,valid,False,13,13813,1381300,1381300006
13101,Marikina Polytechnic College,NCR,NCR,METRO MANILA,METRO MANILA,CITY OF MARIKINA,CITY OF MARIKINA,Public SUC Main,14.6323331,121.0986601,valid,False,13,13807,1380700,1380700009
,Martinez Memorial College,NCR,NCR,METRO MANILA,METRO MANILA,Caloocan City,Caloocan City,Private,14.6385269,120.9757766,valid,False,13,13801,1380100,1380100032
13103,Mary Chiles College,NCR,NCR,METRO MANILA,METRO MANILA,Manila,Manila,Private,14.603641,120.989787,valid,False,13,13806,1380600,1380600404
13337,Mary the Queen College of Quezon City,NCR,NCR,METRO MANILA,METRO MANILA,Quezon City,Quezon City,Private,14.675289,121.082422,valid,False,13,13813,1381300,1381300066
13391,Meridian International College of Business and Arts,NCR,NCR,Metro Manila,Metro Manila,TAGUIG CITY,TAGUIG CITY,Private,14.5344448,121.0523568,valid,False,13,13815,1381500,1381500025
13359,Messiah College Foundation,NCR,NCR,METRO MANILA,METRO MANILA,CITY OF MANDALUYONG,CITY OF MANDALUYONG,Private,14.5824779,121.0613688,valid,False,13,13812,1381200,1381200019
13107,Metro Business College-Pasay,NCR,NCR,METRO MANILA,METRO MANILA,Pasay City,Pasay City,Private,14.537828,121.0010127,valid,False,13,13811,1381100,1381100097
13109,Metro Manila College,NCR,NCR,METRO MANILA,METRO MANILA,Quezon City,Quezon City,Private,14.726518,121.043589,valid,False,13,13813,1381300,1381300046
13442,Metropolitan Institute of Arts and Sciences,NCR,NCR,METRO MANILA,METRO MANILA,Caloocan City,Caloocan City,Private,14.7507731,121.0458083,valid,False,13,13801,1380100,1380100177
,Metropolitan Medical Center College of Arts Science and Technology,NCR,NCR,METRO MANILA,METRO MANILA,MANILA,MANILA,Private,14.5663083,120.992158,valid,False,13,13806,1380600,1380600708
13111,Miriam College,NCR,NCR,METRO MANILA,METRO MANILA,Quezon City,Quezon City,Private,14.6760413,121.0437003,valid,False,13,13813,1381300,1381300080
13112,Mother of Life Center,NCR,NCR,METRO MANILA,METRO MANILA,Quezon City,Quezon City,Private,14.7304528,121.0362337,valid,False,13,13813,1381300,1381300095
13115,NAMEI Polytechnic Institute,NCR,NCR,METRO MANILA,METRO MANILA,CITY OF MANDALUYONG,CITY OF MANDALUYONG,Private,14.5876299,121.0238316,valid,False,13,13805,1380500,1380500015
13448,NBS College,NCR,NCR,METRO MANILA,METRO MANILA,Quezon City,Quezon City,Private,14.6375985,121.0332973,valid,False,13,13813,1381300,1381300116
13459,NU Fairview,NCR,NCR,METRO MANILA,METRO MANILA,Quezon City,Quezon City,Private,14.7105218,121.0610032,valid,False,13,13813,1381300,1381300142
13311,National Christian Life College,NCR,NCR,METRO MANILA,METRO MANILA,CITY OF MARIKINA,CITY OF MARIKINA,Private,14.6386573,121.0983795,valid,False,13,13807,1380700,1380700010
13116,National College of Business and Arts-Cubao,NCR,NCR,METRO MANILA,METRO MANILA,Quezon City,Quezon City,Private,14.628481,121.067901,valid,False,13,13813,1381300,1381300062
13117,National College of Business and Arts-Fairview,NCR,NCR,METRO MANILA,METRO MANILA,Quezon City,Quezon City,Private,14.7038002,121.0690002,valid,False,13,13813,1381300,1381300041
,National Defense College,NCR,NCR,METRO MANILA,METRO MANILA,Quezon City,Quezon City,OGS,14.6092947,121.0679145,valid,False,13,13813,1381300,1381300019
13360,National Polytechnic College of Science and Technology,NCR,NCR,METRO MANILA,METRO MANILA,Quezon City,Quezon City,Private,14.7351933,121.0650352,valid,False,13,13813,1381300,1381300141
13121,National University,NCR,NCR,METRO MANILA,METRO MANILA,Manila,Manila,Private,14.6043164,120.9946287,valid,False,13,13806,1380600,1380600407
13122,Navotas Polytechnic College,NCR,NCR,METRO MANILA,METRO MANILA,CITY OF NAVOTAS,CITY OF NAVOTAS,Public LUC,14.6464328,120.9554901,valid,False,13,13809,1380900,1380900009
,New England College,NCR,NCR,METRO MANILA,METRO MANILA,Quezon City,Quezon City,Private,14.621921,121.00666,valid,False,13,13813,1381300,1381300032
13123,New Era University,NCR,NCR,METRO MANILA,METRO MANILA,Quezon City,Quezon City,Private,14.6638252,121.0580216,valid,False,13,13813,1381300,1381300023
13124,Olivarez College,NCR,NCR,METRO MANILA,METRO MANILA,CITY OF PARA�?AQUE,CITY OF PARA�?AQUE,Private,14.4788387,120.9962295,valid,False,13,13810,1381000,1381000004
13269,Our Lady of Fatima University-Quezon City,NCR,NCR,METRO MANILA,METRO MANILA,Quezon City,Quezon City,Private,14.7347868,121.0705857,valid,False,13,13813,1381300,1381300141
13125,Our Lady of Fatima University-Valenzuela,NCR,NCR,METRO MANILA,METRO MANILA,CITY OF VALENZUELA,CITY OF VALENZUELA,Private,14.6778026,120.9803044,valid,False,13,13816,1381600,1381600019
13316,Our Lady of Guadalupe Colleges,NCR,NCR,METRO MANILA,METRO MANILA,CITY OF MANDALUYONG,CITY OF MANDALUYONG,Private,14.577076,121.049644,valid,False,13,13805,1380500,1380500013
13126,Our Lady of Lourdes College,NCR,NCR,METRO MANILA,METRO MANILA,CITY OF VALENZUELA,CITY OF VALENZUELA,Private,14.6876379,120.9977856,valid,False,13,13816,1381600,1381600011
13270,Our Lady of Lourdes Technological College,NCR,NCR,METRO MANILA,METRO MANILA,Quezon City,Quezon City,Private,14.717661,121.036281,valid,False,13,13813,1381300,1381300070
13218,Our Lady of Perpetual Succor College,NCR,NCR,METRO MANILA,METRO MANILA,CITY OF MARIKINA,CITY OF MARIKINA,Private,14.647962,121.1122463,valid,False,13,13807,1380700,1380700003
13127,Our Lady of the Angels Seminary,NCR,NCR,METRO MANILA,METRO MANILA,Quezon City,Quezon City,Private,14.6981051,121.0384206,valid,False,13,13813,1381300,1381300006
13129,PACE Graduate School of Christian Education,NCR,NCR,METRO MANILA,METRO MANILA,Quezon City,Quezon City,Private,14.6760413,121.0437003,valid,False,13,13813,1381300,1381300080
13134,PATTS College of Aeronautics,NCR,NCR,METRO MANILA,METRO MANILA,CITY OF PARA�?AQUE,CITY OF PARA�?AQUE,Private,14.4747203,121.006465,valid,False,13,13810,1381000,1381000013
13152,PHILSIN College Foundation,NCR,NCR,METRO MANILA,METRO MANILA,Manila,Manila,Private,14.6011466,120.999438,valid,False,13,13806,1380600,1380600420
13153,PMI Colleges-Manila,NCR,NCR,METRO MANILA,METRO MANILA,MANILA,MANILA,Private,14.5996494,120.9785156,valid,False,13,13806,1380600,1380600290
13154,PMI Colleges-Quezon City,NCR,NCR,METRO MANILA,METRO MANILA,Quezon City,Quezon City,Private,14.6341129,121.0177614,valid,False,13,13813,1381300,1381300104
13376,Pacific InterContinental College,NCR,NCR,METRO MANILA,METRO MANILA,CITY OF LAS PI�?AS,CITY OF LAS PI�?AS,Private,14.41979,121.011068,valid,False,13,13802,1380200,1380200015
13347,Pamantasan ng Lungsod ng Marikina,NCR,NCR,METRO MANILA,METRO MANILA,CITY OF MARIKINA,CITY OF MARIKINA,Public LUC,14.6581998,121.1063754,valid,False,13,13807,1380700,1380700007
13130,Pamantasan ng Lungsod ng Maynila,NCR,NCR,METRO MANILA,METRO MANILA,Manila,Manila,Public LUC,14.58679,120.9761774,valid,False,13,13806,1380600,1380600657
13114,Pamantasan ng Lungsod ng Muntinlupa,NCR,NCR,METRO MANILA,METRO MANILA,CITY OF MUNTINLUPA,CITY OF MUNTINLUPA,Public LUC,14.3892443,121.025428,valid,False,13,13808,1380800,1380800005
