uii_code,name,region,old_region,province,old_province,city_municipality,old_city_municipality,sector,latitude,longitude,coord_status,is_multi_campus,psgc_observed_region,psgc_observed_province,psgc_observed_municity,psgc_observed_barangay
14032,Keystone College,CAR,CAR,Benguet,Benguet,Baguio City,Baguio City,Private,16.4015388,120.5942429,valid,False,14,14303,1430300,1430300131
14050,King's College of the Philippines-Benguet,CAR,CAR,Benguet,Benguet,LA TRINIDAD (Capital),LA TRINIDAD (Capital),Private,16.4452765,120.5881071,valid,False,14,14011,1401110,1401110011
14017,Mountain Province State University-Main,CAR,CAR,MOUNTAIN PROVINCE,Mt. Province,Bontoc,Bontoc,Public SUC Main,17.091256,121.0105733,valid,False,14,14044,1404404,1404404006
14019,Mountain Province State University-Tadian,CAR,CAR,MOUNTAIN PROVINCE,Mt. Province,Tadian,Tadian,Public SUC Satellite,16.9660794,120.8154358,valid,False,14,14044,1404410,1404410019
14063,Philippine College of Ministry,CAR,CAR,Benguet,Benguet,LA TRINIDAD (Capital),LA TRINIDAD (Capital),Private,16.4423696,120.5532483,valid,False,14,14011,1401110,1401110013
,Philippine Military Academy,CAR,CAR,Benguet,Benguet,Baguio City,Baguio City,OGS,16.360888,120.619414,valid,False,14,14303,1430300,1430300037
14016,Philippine Nazarene College,CAR,CAR,Benguet,Benguet,LA TRINIDAD (Capital),LA TRINIDAD (Capital),Private,16.4439597,120.5796457,valid,False,14,14011,1401110,1401110011
14020,Pines City Colleges,CAR,CAR,Benguet,Benguet,Baguio City,Baguio City,Private,16.4260293,120.5946832,valid,False,14,14303,1430300,1430300139
14059,Remnant International College,CAR,CAR,Benguet,Benguet,Baguio City,Baguio City,Private,16.3890725,120.5994514,valid,False,14,14303,1430300,1430300017
,STI College-Baguio,CAR,CAR,Benguet,Benguet,Baguio City,Baguio City,Private,16.4210626,120.5971987,valid,False,14,14303,1430300,1430300076
14021,Saint Louis College of Bulanao,CAR,CAR,Kalinga,Kalinga,Tabuk City,Tabuk City,Private,17.4109068,121.4456784,valid,False,14,14032,1403213,1403213008
14022,Saint Louis University,CAR,CAR,Benguet,Benguet,Baguio City,Baguio City,Private,16.4190055,120.5971225,valid,False,14,14303,1430300,1430300125
14051,Saint Tonis College,CAR,CAR,Kalinga,Kalinga,Tabuk City,Tabuk City,Private,17.4116402,121.4421982,valid,False,14,14032,1403213,1403213008
14023,San Pablo Major Seminary,CAR,CAR,Benguet,Benguet,Baguio City,Baguio City,Private,16.3981725,120.5774794,valid,False,14,14303,1430300,1430300004
14068,Star College,CAR,CAR,Benguet,Benguet,LA TRINIDAD (Capital),LA TRINIDAD (Capital),Private,16.446593,120.58775,valid,False,14,14011,1401110,1401110011
14067,Theological Foundation for Asia (Asia Pacific Theological Seminary),CAR,CAR,Benguet,Benguet,Baguio City,Baguio City,Private,16.4283492,120.6230187,valid,False,14,14303,1430300,1430300072
14026,University of Baguio,CAR,CAR,Benguet,Benguet,Baguio City,Baguio City,Private,16.415128,120.5974765,valid,False,14,14303,1430300,1430300039
14006,University of the Cordilleras,CAR,CAR,Benguet,Benguet,Baguio City,Baguio City,Private,16.40875,120.5978032,valid,False,14,14303,1430300,1430300106
,University of the Philippines-Baguio,CAR,CAR,Benguet,Benguet,Baguio City,Baguio City,Public SUC Satellite,16.4052448,120.5985918,valid,False,14,14303,1430300,1430300071
14054,Xijen College of Mt. Province,CAR,CAR,MOUNTAIN PROVINCE,Mt. Province,Bontoc,Bontoc,Private,17.093007,120.9769172,valid,False,14,14044,1404404,1404404017
16019,ACLC College of Butuan City,CARAGA,CARAGA,Agusan Del Norte,Agusan Del Norte,BUTUAN CITY (Capital),BUTUAN CITY (Capital),Private,8.943786,125.523082,valid,False,16,16304,1630400,1630400020
10004,Agusan Colleges,CARAGA,CARAGA,Agusan Del Norte,Agusan Del Norte,BUTUAN CITY (Capital),BUTUAN CITY (Capital),Private,8.9465867,125.5442454,valid,False,16,16304,1630400,1630400079
10006,Agusan Del Sur State College of Agriculture and Technology,CARAGA,CARAGA,Agusan Del Sur,Agusan Del Sur,Bunawan,Bunawan,Public SUC Main,8.1692546,126.0035237,valid,False,16,16003,1600302,1600302010
10005,Agusan del Sur College,CARAGA,CARAGA,Agusan Del Sur,Agusan Del Sur,Bayugan City,Bayugan City,Private,8.7154347,125.7449207,valid,False,16,16003,1600301,1600301016
11003,Andres Soriano Colleges of Bislig,CARAGA,CARAGA,Surigao Del Sur,Surigao Del Sur,Bislig City,Bislig City,Private,8.1838453,126.3582698,valid,False,16,16068,1606803,1606803009
10010,Asian College Foundation,CARAGA,CARAGA,Agusan Del Norte,Agusan Del Norte,BUTUAN CITY (Capital),BUTUAN CITY (Capital),Private,8.9432158,125.5182889,valid,False,16,16304,1630400,1630400054
16015,Balite Institute of Technology-Butuan,CARAGA,CARAGA,Agusan Del Norte,Agusan Del Norte,BUTUAN CITY (Capital),BUTUAN CITY (Capital),Private,8.9535628,125.5419664,valid,False,16,16304,1630400,1630400075
16018,Bucas Grande Foundation College,CARAGA,CARAGA,Surigao Del Norte,Surigao Del Norte,Socorro,Socorro,Private,9.6158903,125.9627328,valid,False,16,16067,1606723,1606723014
10015,Butuan City Colleges,CARAGA,CARAGA,Agusan Del Norte,Agusan Del Norte,BUTUAN CITY (Capital),BUTUAN CITY (Capital),Private,8.9484004,125.5405257,valid,False,16,16304,1630400,1630400085
10016,Butuan Doctors' College,CARAGA,CARAGA,Agusan Del Norte,Agusan Del Norte,BUTUAN CITY (Capital),BUTUAN CITY (Capital),Private,8.9438392,125.5217533,valid,False,16,16304,1630400,1630400020
16026,Candelaria Institute of Technology of Cabadbaran,CARAGA,CARAGA,Agusan del Norte,Agusan del Norte,Cabadbaran City,Cabadbaran City,Private,9.1234034,125.5315762,valid,False,16,16002,1600203,1600203021
16004,Caraga Institute of Technology,CARAGA,CARAGA,Agusan Del Norte,Agusan Del Norte,Kitcharao,Kitcharao,Private,9.458931,125.575825,valid,False,16,16002,1600206,1600206011
16032,Caraga School of Business,CARAGA,CARAGA,Agusan Del Sur,Agusan Del Sur,Bayugan City,Bayugan City,Private,8.7134852,125.7483168,valid,False,16,16003,1600301,1600301016
10058,Caraga State University-Cabadbaran Campus,CARAGA,CARAGA,Agusan Del Norte,Agusan Del Norte,Cabadbaran City,Cabadbaran City,Public SUC Satellite,9.1162924,125.5346602,valid,False,16,16002,1600203,1600203023
10060,Caraga State University-Main Campus,CARAGA,CARAGA,Agusan Del Norte,Agusan Del Norte,BUTUAN CITY (Capital),BUTUAN CITY (Capital),Public SUC Main,8.9585847,125.5957578,valid,False,16,16304,1630400,1630400007
16005,De La Salle John Bosco College,CARAGA,CARAGA,Surigao Del Sur,Surigao Del Sur,Bislig City,Bislig City,Private,8.1803301,126.3542111,valid,False,16,16068,1606803,1606803009
10026,Don Jose Ecleo Memorial Foundation College of Science and Technology,CARAGA,CARAGA,Dinagat Islands,Dinagat Islands,San Jose,San Jose,Private,10.0083333,125.5888889,valid,False,16,16085,1608506,1608506002
10027,Elisa R. Ochoa Memorial Northern Mindanao School of Midwifery,CARAGA,CARAGA,Agusan Del Norte,Agusan Del Norte,BUTUAN CITY (Capital),BUTUAN CITY (Capital),Private,8.9479651,125.5443714,valid,False,16,16304,1630400,1630400089
10090,Father Saturnino Urios University,CARAGA,CARAGA,Agusan Del Norte,Agusan Del Norte,BUTUAN CITY (Capital),BUTUAN CITY (Capital),Private,8.9479202,125.5420479,valid,False,16,16304,1630400,1630400078
16021,Hinatuan Southern College,CARAGA,CARAGA,Surigao Del Sur,Surigao Del Sur,Hinatuan,Hinatuan,Public LUC,8.3689348,126.3340213,valid,False,16,16068,1606809,1606809043
